Title,BodyPart,Level,Rating
Partner plank band row,Abs,Intermediate,0.0
Barbell roll-out,Abs,Intermediate,8.9
Barbell Ab Rollout - On Knees,Abs,Intermediate,8.9
Decline bar press sit-up,Abs,Intermediate,8.5
Bench barbell roll-out,Abs,Beginner,8.3
Barbell Side Bend,Abs,Beginner,7.0
Seated bar twist,Abs,Intermediate,4.7
Advanced Kettlebell Windmill,Abs,Beginner,8.3
Kettlebell Windmill,Abs,Intermediate,7.7
Kettlebell Pass Between The Legs,Abs,Beginner,7.3
Kettlebell 3-point leg extension,Abs,Intermediate,0.0
Dumbbell V-Sit Cross Jab,Abs,Intermediate,9.3
Dumbbell spell caster,Abs,Beginner,9.3
Dumbbell side bend,Abs,Intermediate,8.6
Landmine twist,Abs,Intermediate,9.5
Suspended ab fall-out,Abs,Intermediate,9.3
Decline reverse crunch,Abs,Intermediate,9.2
Plate Twist,Abs,Beginner,9.0
Weighted Crunches,Abs,Intermediate,8.9
Ab Roller,Abs,Intermediate,8.9
Otis-Up,Abs,Intermediate,8.8
Captain's chair knee raise,Abs,Intermediate,8.6
Sledgehammer swing,Abs,Intermediate,8.6
Decline bar press sit-up,Abs,Intermediate,8.5
Pallof press,Abs,Intermediate,8.4
Weighted Sit-Ups - With Bands,Abs,Intermediate,8.0
Suitcase crunch,Abs,Intermediate,0.0
Standing cable low-to-high twist,Abs,Intermediate,9.3
Single-arm high-cable side bend,Abs,Intermediate,9.1
Kneeling cable oblique crunch,Abs,Intermediate,9.0
Kneeling cable crunch,Abs,Intermediate,8.9
Rope Crunch,Abs,Intermediate,8.6
Standing cable crunch,Abs,Intermediate,8.6
Bosu Ball Cable Crunch With Side Bends,Abs,Beginner,8.5
Standing Cable Wood Chop,Abs,Intermediate,8.2
Cable reverse crunch,Abs,Beginner,8.2
Cable Russian Twists,Abs,Beginner,8.1
Pallof press with rotation,Abs,Intermediate,7.9
Cable Seated Crunch,Abs,Beginner,7.7
Cable Judo Flip,Abs,Beginner,5.0
Ab Crunch Machine,Abs,Intermediate,8.0
Smith machine straight-legged hip raise,Abs,Intermediate,8.0
Elbow plank,Abs,Intermediate,9.3
Bottoms Up,Abs,Intermediate,9.3
Spider crawl,Abs,Intermediate,9.2
Cocoons,Abs,Intermediate,9.1
Cross-Body Crunch,Abs,Intermediate,9.1
